ProblemNo,Connection,Cost
0,18401 : 26 -> 32 ; 59440 : 19 -> 24 ; 59442 : 30 -> 31,12
1,18401 : 4 -> 31 ; 12010 : 6 -> 7 ; 59440 : 53 -> 56,31
2,59442 : 50 -> 51 ; 59440 : 42 -> 45 ; 59442 : 54 -> 55 ; 59440 : 47 -> 48 ; 59442 : 56 -> 57 ; 59440 : 50 -> 51 ; 59442 : 58 -> 59 ; 12010 : 7 -> 9 ; 12267 : 1 -> 2 ; 19107 : 1 -> 2,13
3,18401 : 38 -> 41,3
4,12547 : 10 -> 11 ; 19578 : 4 -> 6 ; 59440 : 26 -> 32,9
5,18401 : 29 -> 32 ; 59440 : 19 -> 21,5
6,18401 : 18 -> 31 ; 12010 : 6 -> 7,14
7,59440 : 59 -> 64 ; 59442 : 70 -> 71 ; 59440 : 66 -> 68 ; 12010 : 8 -> 9 ; 12267 : 1 -> 2 ; 19578 : 4 -> 6 ; 59440 : 26 -> 30,16
8,59440 : 2 -> 10 ; 12010 : 2 -> 6 ; 59440 : 36 -> 42,18
9,19578 : 18 -> 21,3
10,18234 : 17 -> 18 ; 14709 : 20 -> 21 ; 12222 : 3 -> 4 ; 22679 : 4 -> 5 ; 02590 : 7 -> 8 ; 12443 : 12 -> 13 ; 12230 : 3 -> 4 ; 14044 : 5 -> 6 ; 54076 : 12 -> 13,9
11,19038 : 26 -> 27 ; 12938 : 10 -> 11 ; 12484 : 8 -> 9 ; 22696 : 3 -> 4 ; 15030 : 1 -> 2 ; 12779 : 17 -> 18,6
12,14626 : 3 -> 4 ; 12048 : 1 -> 3 ; 12422 : 8 -> 9 ; 12038 : 6 -> 7 ; 11058 : 33 -> 34 ; 12270 : 1 -> 3 ; 12243 : 1 -> 2 ; 06544 : 7 -> 8,10
13,18409 : 5 -> 6 ; 12073 : 3 -> 4 ; 18646 : 53 -> 54 ; 12892 : 9 -> 13,7
14,50103 : 8 -> 9 ; 02511 : 2 -> 4 ; 12221 : 5 -> 7 ; 13511 : 1 -> 2,6
15,12636 : 2 -> 3 ; 22206 : 2 -> 4 ; 12269 : 1 -> 2 ; 12293 : 4 -> 5 ; 12294 : 2 -> 3 ; 12223 : 1 -> 2,7
16,51402 : 19 -> 20 ; 51033 : 22 -> 23 ; 12113 : 3 -> 4 ; 01655 : 5 -> 6 ; 12141 : 6 -> 7 ; 11053 : 8 -> 9 ; 12141 : 8 -> 9 ; 15631 : 18 -> 19 ; 12424 : 7 -> 8 ; 22412 : 9 -> 10 ; 15719 : 1 -> 2,11
17,13307 : 5 -> 6 ; 12801 : 16 -> 17 ; 12324 : 11 -> 12 ; 12302 : 9 -> 10 ; 02509 : 11 -> 13 ; 22511 : 20 -> 21 ; 02509 : 15 -> 16 ; 12236 : 18 -> 19 ; 14056 : 44 -> 45,10
18,13006 : 30 -> 31 ; 11054 : 7 -> 8 ; 11038 : 5 -> 6 ; 12294 : 2 -> 3 ; 12219 : 1 -> 2 ; 22695 : 4 -> 6 ; 12958 : 5 -> 6 ; 19107 : 2 -> 3 ; 12489 : 3 -> 4 ; 54801 : 6 -> 7,11
19,57305 : 38 -> 39 ; 17023 : 15 -> 16 ; 19301 : 28 -> 29 ; 22693 : 3 -> 4 ; 12649 : 5 -> 6 ; 22679 : 4 -> 5 ; 12441 : 8 -> 9 ; 12421 : 14 -> 16 ; 12047 : 4 -> 6 ; 19612 : 13 -> 14,12
20,59440 : 4 -> 10 ; 12010 : 2 -> 4 ; 19578 : 5 -> 6 ; 59440 : 26 -> 45 ; 59442 : 54 -> 55 ; 59440 : 47 -> 48 ; 59442 : 56 -> 57,293
21,12010 : 3 -> 4 ; 18401 : 32 -> 33 ; 59440 : 1 -> 5,153
22,19578 : 3 -> 6 ; 59440 : 26 -> 36 ; 12010 : 6 -> 7 ; 59440 : 53 -> 64 ; 59442 : 70 -> 71,565
23,19107 : 18 -> 19,53
24,18401 : 28 -> 31 ; 59440 : 36 -> 45 ; 59442 : 54 -> 55 ; 59440 : 47 -> 48 ; 59442 : 56 -> 57 ; 59440 : 50 -> 51,396
25,19943 : 1 -> 9 ; 18401 : 33 -> 39,684
26,18401 : 11 -> 33 ; 59440 : 1 -> 6,1799
27,12010 : 8 -> 9 ; 12267 : 1 -> 2 ; 19578 : 4 -> 6 ; 59440 : 26 -> 45 ; 59442 : 54 -> 55 ; 59440 : 47 -> 48,817
28,59440 : 30 -> 36 ; 18401 : 31 -> 32 ; 12010 : 4 -> 5,222
29,19107 : 10 -> 17,500
