ProblemNo,Connection,Cost
10,19717 : 9 -> 10 ; 12038 : 6 -> 7 ; 22806 : 1 -> 2 ; 12554 : 7 -> 8 ; 11015 : 41 -> 42 ; 13308 : 37 -> 38,6
11,14724 : 21 -> 22 ; 12320 : 4 -> 5 ; 12443 : 12 -> 13 ; 12230 : 3 -> 4 ; 14044 : 5 -> 6 ; 54075 : 31 -> 32,6
12,56213 : 23 -> 24 ; 22601 : 6 -> 7 ; 08302 : 2 -> 3 ; 12244 : 6 -> 7 ; 12269 : 1 -> 3 ; 11077 : 39 -> 40 ; 12203 : 19 -> 20 ; 12207 : 11 -> 12 ; 04401 : 7 -> 8 ; 11449 : 28 -> 29,11
13,19806 : 11 -> 12 ; 22680 : 2 -> 4 ; 12221 : 5 -> 6 ; 14710 : 11 -> 12 ; 11265 : 8 -> 9 ; 28242 : 7 -> 8,7
14,57229 : 12 -> 13 ; 12776 : 8 -> 10 ; 12254 : 21 -> 22 ; 02510 : 16 -> 17 ; 12269 : 1 -> 3 ; 12218 : 4 -> 5 ; 13423 : 13 -> 14 ; 09721 : 9 -> 10 ; 12315 : 23 -> 24 ; 09607 : 5 -> 6 ; 19943 : 1 -> 4,15
15,05817 : 2 -> 3 ; 12235 : 12 -> 13 ; 22411 : 7 -> 8 ; 12501 : 9 -> 10 ; 13281 : 28 -> 29 ; 03235 : 18 -> 19,6
16,19168 : 17 -> 18 ; 11106 : 5 -> 6 ; 22805 : 18 -> 19 ; 12952 : 1 -> 2 ; 12484 : 8 -> 9 ; 15668 : 28 -> 29 ; 12490 : 7 -> 8 ; 19707 : 20 -> 21,8
17,51433 : 36 -> 37 ; 01402 : 14 -> 15 ; 01420 : 7 -> 8 ; 11076 : 7 -> 8 ; 12702 : 13 -> 14 ; 22695 : 4 -> 5 ; 12287 : 18 -> 19 ; 12247 : 5 -> 6 ; 22941 : 9 -> 10,9
18,12942 : 2 -> 3 ; 12313 : 5 -> 6 ; 12381 : 8 -> 9,3
19,54805 : 80 -> 82 ; 09722 : 10 -> 11 ; 08244 : 8 -> 9 ; 12308 : 6 -> 7 ; 12911 : 9 -> 10 ; 12270 : 1 -> 2 ; 12194 : 5 -> 6 ; 02511 : 4 -> 5 ; 12129 : 18 -> 19 ; 58112 : 23 -> 24,11
